"성별","연령","주택가격","거주형태","총납입료 합계","사기여부"
2,47,21111,20,146980441,"N"
1,53,40000,20,94600109,"N"
2,64,12861,40,317223657,"N"
1,62,6218,99,22313040,"N"
2,60,11388,30,46522197,"Y"
1,57,86527,20,151085847,"N"
1,54,22638,20,3666050,"N"
1,65,18408,20,15628337,"N"
1,58,37222,20,135719262,"N"
1,63,8140,50,33261687,"Y"
1,59,23055,20,33336919,"N"
2,52,6684,12,77429702,"N"
1,68,14027,20,10122595,"N"
1,48,33333,20,10317997,"N"
1,64,15833,20,11323581,"N"
1,57,28888,20,52994443,"N"
2,63,8802,11,13105235,"N"
2,51,4309,12,56516442,"N"
1,81,7813,40,7282800,"N"
2,58,1471,11,69535310,"N"
2,49,30000,20,50382067,"N"
2,55,15555,20,110828477,"Y"
1,55,36111,20,17240200,"N"
1,61,17777,20,210810180,"N"
2,57,4865,30,11461734,"N"
2,54,10683,99,35723494,"N"
2,52,15194,99,38109169,"N"
2,47,8888,20,16398268,"N"
2,49,18888,20,19827388,"N"
1,51,34631,20,32935106,"N"
1,47,6569,99,37102242,"N"
2,40,13427,40,39052796,"N"
2,46,8147,40,28755148,"N"
1,53,7916,20,23070333,"N"
2,48,15311,40,15284369,"N"
2,55,10000,30,14661864,"N"
2,41,27777,20,23479401,"N"
2,61,9861,20,22399454,"N"
2,58,10555,20,59479946,"N"
2,62,6666,20,46508529,"N"
2,49,10441,99,25637391,"N"
2,42,20416,20,58480871,"N"
2,58,15015,11,168252203,"N"
2,63,9189,99,89310615,"N"
1,50,26944,20,8355309,"N"
1,72,12222,20,29793646,"N"
2,52,5833,20,4670372,"Y"
2,55,4027,30,41070351,"N"
2,57,7271,11,136720853,"Y"
2,79,25833,20,5958728,"N"
2,44,14542,99,40099583,"N"
1,38,8888,20,15475047,"N"
1,47,19444,20,21350056,"N"
2,51,12326,12,33991326,"Y"
2,60,50972,20,133381160,"N"
2,49,13333,20,12386724,"Y"
2,47,30000,20,102701437,"N"
2,52,6291,12,116980784,"N"
1,63,3638,11,80557731,"N"
2,61,8055,20,29579013,"N"
2,45,9305,20,11726715,"N"
2,51,7092,12,35031840,"N"
1,53,9861,30,26886714,"N"
2,58,2704,13,25697202,"N"
2,52,8611,20,20066022,"N"
2,59,11409,99,19310189,"Y"
2,66,4722,30,25848033,"N"
2,53,10277,20,19065255,"N"
2,51,2196,13,22807201,"N"
2,63,0,11,117742024,"N"
2,67,5689,99,38544420,"N"
2,57,28888,20,23891047,"N"
2,45,14456,99,17839198,"Y"
2,56,8601,11,57382549,"N"
2,73,5281,11,11233163,"N"
2,69,7338,12,14150907,"N"
2,69,2167,12,265780511,"N"
